"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.7,0.3333333,0.2857143,0.3076923,0.6459627
"SVM",0.8333333,1,0.2857143,0.4444444,0.5962733
"QLR_0.35",0.7666667,0,0,0,0.6397516
"QLR_0.4",0.8,1,0.1428571,0.25,0.621118
"QLR_0.45",0.7666667,0.5,0.1428571,0.2222222,0.6273292
"QLR_0.5",0.7,0.3333333,0.2857143,0.3076923,0.6273292
"QLR_0.55",0.6666667,0.2857143,0.2857143,0.2857143,0.6273292
"QLR_0.6",0.7333333,0.4444444,0.5714286,0.5,0.6335404
"QLR_0.65",0.7333333,0.4545455,0.7142857,0.5555556,0.6335404
"QLR_0.7",0.6,0.3333333,0.7142857,0.4545455,0.6273292
