"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.7533333,0.6,0.4186047,0.4931507,0.7485329
"SVM",0.74,0.5714286,0.372093,0.4507042,0.7139209
"QLR_0.35",0.7133333,NA,0,NA,0.7473919
"QLR_0.4",0.7366667,0.7692308,0.1162791,0.2020202,0.7481526
"QLR_0.45",0.7333333,0.5882353,0.2325581,0.3333333,0.749022
"QLR_0.5",0.7566667,0.6140351,0.4069767,0.4895105,0.7492393
"QLR_0.55",0.7366667,0.5384615,0.5697674,0.5536723,0.750326
"QLR_0.6",0.68,0.4615385,0.6976744,0.5555556,0.7509237
"QLR_0.65",0.63,0.4193548,0.755814,0.5394191,0.7519561
"QLR_0.7",0.5966667,0.4043716,0.8604651,0.5501859,0.7530428
