"model","accuracy_mean","accuracy_sd","recall_mean","recall_sd","precision_mean","precision_sd","f1_mean","f1_sd","auc_mean","auc_sd"
"Logistic Regression",0.71534,0.02653,0.61386,0.06525,0.36557,0.06787,0.45392,0.05941,0.73658,0.03049
"SVM",0.73497,0.0264,0.68939,0.0705,0.35678,0.07299,0.46474,0.06738,0.75424,0.03146
"qlr_metrics_0.35",0.67342,0.02721,0.83163,0.31425,0.00654,0.01194,0.03471,0.02503,0.73545,0.03067
"qlr_metrics_0.4",0.68344,0.02791,0.77416,0.21067,0.05237,0.03815,0.10126,0.06149,0.73583,0.03062
"qlr_metrics_0.45",0.70264,0.0274,0.70117,0.10512,0.16886,0.0652,0.26549,0.08473,0.73621,0.03054
"qlr_metrics_0.5",0.71472,0.02684,0.62548,0.07085,0.3354,0.07329,0.43105,0.06677,0.73651,0.0305
"qlr_metrics_0.55",0.70781,0.02784,0.56278,0.05465,0.50619,0.06793,0.52982,0.0483,0.73674,0.03045
"qlr_metrics_0.6",0.67891,0.02988,0.50956,0.04717,0.65527,0.05847,0.57137,0.04029,0.73685,0.03046
"qlr_metrics_0.65",0.62598,0.03396,0.46015,0.04092,0.78585,0.05195,0.57889,0.03655,0.73677,0.03038
"qlr_metrics_0.7",0.54621,0.04099,0.41287,0.03657,0.89446,0.04121,0.56366,0.03456,0.73645,0.03039
