"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.74614,0.64872,0.41809,0.50813,0.77396
"SVM",0.74201,0.68181,0.33501,0.44867,0.73598
"qlr_metrics_0.35",0.68967,0.91687,0.01282,0.02522,0.77395
"qlr_metrics_0.4",0.70676,0.83833,0.08211,0.14913,0.77395
"qlr_metrics_0.45",0.7317,0.74847,0.21964,0.33897,0.77396
"qlr_metrics_0.5",0.74579,0.66572,0.38294,0.48572,0.77396
"qlr_metrics_0.55",0.73981,0.59548,0.53512,0.56339,0.77397
"qlr_metrics_0.6",0.71406,0.53604,0.66648,0.59398,0.77396
"qlr_metrics_0.65",0.66837,0.48266,0.7775,0.59543,0.77395
"qlr_metrics_0.7",0.59849,0.43121,0.87207,0.57693,0.77393
