"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.7133333,0.5641026,0.45833333,0.50574713,0.6956699
"SVM",0.7266667,0.6206897,0.375,0.46753247,0.6268382
"QLR_0.35",0.6733333,0.3333333,0.02083333,0.03921569,0.6938317
"QLR_0.4",0.6933333,0.6,0.125,0.20689655,0.6928105
"QLR_0.45",0.7266667,0.6521739,0.3125,0.42253521,0.6928105
"QLR_0.5",0.7133333,0.5641026,0.45833333,0.50574713,0.6919935
"QLR_0.55",0.6733333,0.4909091,0.5625,0.52427184,0.6913807
"QLR_0.6",0.6066667,0.4246575,0.64583333,0.51239669,0.6934232
"QLR_0.65",0.58,0.4074074,0.6875,0.51162791,0.6926062
"QLR_0.7",0.5466667,0.4,0.83333333,0.54054054,0.692402
