"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.79669,0.74124,0.67789,0.70513,0.86804
"SVM",0.76839,0.74963,0.54926,0.62819,0.83223
"qlr_metrics_0.35",0.74503,0.89186,0.34091,0.48421,0.86667
"qlr_metrics_0.4",0.77395,0.84441,0.46542,0.59346,0.86702
"qlr_metrics_0.45",0.79107,0.79477,0.5758,0.66315,0.8672
"qlr_metrics_0.5",0.79542,0.74534,0.66605,0.69996,0.86731
"qlr_metrics_0.55",0.78979,0.69892,0.74295,0.71744,0.86729
"qlr_metrics_0.6",0.77432,0.65401,0.80711,0.72013,0.86716
"qlr_metrics_0.65",0.74836,0.60951,0.85832,0.71065,0.86685
"qlr_metrics_0.7",0.71375,0.56716,0.90111,0.69413,0.86629
