"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.77091,0.69995,0.58761,0.63466,0.83127
"SVM",0.74757,0.71197,0.45184,0.54546,0.79281
"qlr_metrics_0.35",0.71057,0.88281,0.18352,0.29526,0.83041
"qlr_metrics_0.4",0.74223,0.82745,0.32016,0.45208,0.83066
"qlr_metrics_0.45",0.76362,0.76793,0.45226,0.56219,0.83084
"qlr_metrics_0.5",0.77033,0.70791,0.5699,0.62647,0.83087
"qlr_metrics_0.55",0.76372,0.65432,0.66823,0.65754,0.83084
"qlr_metrics_0.6",0.74575,0.60602,0.75085,0.6677,0.83066
"qlr_metrics_0.65",0.71734,0.56153,0.82177,0.66466,0.83031
"qlr_metrics_0.7",0.67544,0.51723,0.88124,0.6496,0.82969
