"model","accuracy","recall_value","precision_value","f1","auc"
"Logistic Regression",0.84127,0.81088,0.8084,0.80796,0.92115
"SVM",0.81655,0.82578,0.71268,0.7614,0.90417
"qlr_metrics_0.35",0.82039,0.89351,0.64723,0.74789,0.92147
"qlr_metrics_0.4",0.83199,0.86768,0.70537,0.77587,0.92189
"qlr_metrics_0.45",0.83828,0.83921,0.75808,0.79465,0.9221
"qlr_metrics_0.5",0.83953,0.81012,0.80435,0.8055,0.92212
"qlr_metrics_0.55",0.83559,0.77989,0.84474,0.80948,0.92197
"qlr_metrics_0.6",0.82693,0.74969,0.87913,0.80786,0.92166
"qlr_metrics_0.65",0.81244,0.71744,0.90831,0.80036,0.92111
"qlr_metrics_0.7",0.79347,0.68633,0.93029,0.78864,0.92011
